External ID,Name,Assign to Category,Shortcut Group Display Order,Icon,Display Shortcut Group To All Roles,Role
atlas_qm_navgrp_01,Lists,atlas_qm_navcat_01,1,icon_atlas_utility.png,Yes,
atlas_qm_navgrp_02,Quality Management,atlas_qm_navcat_01,2,icon_atlas_itemfulfillment.png,Yes,
